Strain,Replicate,Initial_mgmL,Final_mgmL,Degradation_pct,Category
P_pergaminensis,1,102.4835708,43.75159069,57.30867849,Degrader
P_pergaminensis,2,103.2384427,35.4983844,65.61514928,Degrader
P_pergaminensis,3,98.82923313,42.66525671,56.82931522,Degrader
P_pergaminensis,4,107.8960641,41.17618758,61.83717365,Degrader
P_pergaminensis,5,97.65262807,38.36498308,60.71280022,Degrader
P_pergaminensis,6,97.68291154,43.30151476,55.67135123,Degrader
P_pergaminensis,7,101.2098114,52.1902574,48.43359878,Degrader
P_pergaminensis,8,91.37541084,40.94663525,55.18856235,Degrader
A_salinitolerans,1,94.9358444,49.82804755,47.51397866,Degrader
A_salinitolerans,2,95.45987962,63.2884011,33.70157039,Degrader
A_salinitolerans,3,107.3282438,60.96910802,43.1937896,Degrader
A_salinitolerans,4,100.337641,66.62217233,33.60201451,Degrader
A_salinitolerans,5,97.27808638,52.63972053,45.88738072,Degrader
A_salinitolerans,6,94.24503211,49.00215392,48.00558415,Degrader
A_salinitolerans,7,96.99680655,55.61171258,42.66645,Degrader
A_salinitolerans,8,96.99146694,38.97289255,59.81822548,Degrader
B_pseudomycoides,1,99.93251388,54.30958939,45.65373443,Degrader
B_pseudomycoides,2,104.1127246,57.60042931,44.6749381,Degrader
B_pseudomycoides,3,101.044318,60.3820845,40.24197926,Degrader
B_pseudomycoides,4,93.35906976,43.70962657,53.18116742,Degrader
B_pseudomycoides,5,103.6923329,48.70614518,53.02820969,Degrader
B_pseudomycoides,6,99.42175859,49.51861966,50.19337783,Degrader
B_pseudomycoides,7,92.60739005,48.45132083,47.68093475,Degrader
B_pseudomycoides,8,97.69680615,40.69781904,58.34273336,Degrader
Pa_polymyxa,1,101.7180914,65.44672314,35.65871891,Degrader
Pa_polymyxa,2,101.6204198,55.58187393,45.30442404,Degrader
Pa_polymyxa,3,96.61539,46.10318878,52.28173402,Degrader
Pa_polymyxa,4,105.1549976,47.82558565,54.51896083,Degrader
Pa_polymyxa,5,95.80391238,51.89169732,45.83551337,Degrader
Pa_polymyxa,6,101.6563172,45.91936218,54.82881589,Degrader
Pa_polymyxa,7,97.60412881,52.02262277,46.70038716,Degrader
Pa_polymyxa,8,94.46832513,57.03378361,39.62655363,Degrader
Community,1,104.0626291,9.964038244,90.42496011,Degrader
Community,2,99.63994939,10.94631372,89.01413159,Degrader
Community,3,101.8081801,17.89836575,82.41952098,Degrader
Community,4,101.806978,9.007732507,91.15214627,Degrader
Community,5,99.8208698,8.725766844,91.25857462,Degrader
Community,6,90,10.54115098,88.28761002,Degrader
Community,7,100.4352353,16.26652025,83.8039706,Degrader
Community,8,100.4588039,23.05557241,77.04972434,Degrader
S_epidermidis,1,98.90164056,92.89698796,6.071337715,Non-degrader
S_epidermidis,2,107.3894702,103.6896996,3.445189345,Non-degrader
S_epidermidis,3,95.95753199,92.60407641,3.494728869,Non-degrader
S_epidermidis,4,104.5770106,98.31676581,5.986253329,Non-degrader
M_luteus,1,97.35119898,87.56441506,10.05306973,Non-degrader
M_luteus,2,100.4853877,88.55317003,11.87457996,Non-degrader
M_luteus,3,96.48973453,90.03519711,6.689351414,Non-degrader
M_luteus,4,98.03945923,95.93559106,2.145940207,Non-degrader
K_pneumoniae,1,101.4806014,94.59700392,6.783165817,Non-degrader
K_pneumoniae,2,100.0255673,94.72797458,5.2962386,Non-degrader
K_pneumoniae,3,92.92314629,88.52038812,4.738064032,Non-degrader
K_pneumoniae,4,98.28642742,94.75483077,3.593168192,Non-degrader
S_aureus,1,99.19357144,91.04764401,8.21215257,Non-degrader
S_aureus,2,109.4309295,101.1976381,7.523733438,Non-degrader
S_aureus,3,101.287752,94.4238231,6.776662253,Non-degrader
S_aureus,4,90.40614392,84.14962437,6.920458374,Non-degrader
Non_degraders_mix,1,100.301151,89.3417616,10.92648422,Non-degrader
Non_degraders_mix,2,99.03819518,92.49860937,6.603094685,Non-degrader
Non_degraders_mix,3,99.82644115,96.17015407,3.662643925,Non-degrader
Non_degraders_mix,4,105.7141141,97.78146854,7.503866065,Non-degrader
Control,1,103.9551597,103.2940893,0.635918818,Control
Control,2,107.0139716,107.0139716,0,Control
Control,3,102.9342855,97.49350499,5.285683439,Control
Control,4,95.04731837,93.95374822,1.150553406,Control
