Strain,Category,n,mean,std,se,initial_mean,final_mean
A_salinitolerans,Degrader,8,44.29862418875,8.435146606983242,2.9822746830502744,97.9466251,54.6167760725
B_pseudomycoides,Degrader,8,49.124634355,5.740105722298255,2.0294338404824006,98.98336424125,50.42195431
Community,Degrader,8,86.67632981625,5.101625404958666,1.8036969594599195,99.75408069875,13.300682588125
Control,Control,4,1.76803891575,2.3918450946244993,1.1959225473122497,102.23768379250001,100.4388285275
K_pneumoniae,Non-degrader,4,5.10265916025,1.3257787917103596,0.6628893958551798,98.1789356025,93.1500493475
M_luteus,Non-degrader,4,7.690735327750001,4.275227183385357,2.1376135916926784,98.09144511000001,90.522093315
Non-degraders_community,Non-degrader,4,7.174022223750001,2.991404564433831,1.4957022822169155,101.2199753575,93.947998395
P_pergaminensis,Degrader,8,57.6995786525,5.155342702513178,1.8226888921438251,100.0460090725,42.23685123375
Pa_polymyxa,Degrader,8,46.84438848125,6.895560350561017,2.437948741981391,99.33019779,52.7281046725
S_aureus,Non-degrader,4,7.3582516587499995,0.6548384489195692,0.3274192244597846,100.079599215,92.704682395
S_epidermidis,Non-degrader,4,4.7493773145,1.4778915789416158,0.7389457894708079,101.70641333750001,96.876882445
