Strain,LiP_EC1.11.1.14,MnP_EC1.11.1.13,AAO_EC1.1.3.7,DyP_EC1.11.1.19,VDM_EC3.1.1.68,AtzA_EC3.8.1.8,AtzB_EC3.5.1.42,CAH_EC3.5.2.15,N-dealk_EC1.14.14,OxRed_EC1.4.99,MelD_EC3.5.4.23,AmAH_EC3.5.1.101,AmidAH_EC3.5.1.102,HalDeh_EC3.8.1.5,AlkMon_EC1.14.15.3,NADPH_Ox_EC1.6.99,CytP450_EC1.14.14,ABC_transp,MFS_transp,RND_efflux,TRAP_syst,Mem_transp,Eff_pumps,Resist_genes,Genus,classic_raw,classic_score,complementary_raw,complementary_score,oxidative_raw,oxidative_score,transport_raw,transport_score,genomic_score,rank_overall,is_published_finalist
PSELUT1_Pseudomonas_pergaminensis,3,2,1,4,2,2,1,1,2,4,1,1,1,2,2,3,6,21,15,4,2,26,5,9,Pseudomonas,3,1.0,5,1.0,30,1.0,73,1.0,1.0,1,True
T3E1_Pseudomonas_iranensis,2,2,1,4,3,1,1,1,2,4,1,1,1,1,2,3,5,20,14,3,2,25,4,8,Pseudomonas,2,0.6666666666666666,4,0.8,29,0.96,68,0.9242424242424242,0.8163939393939393,2,False
C1H11_Pseudomonas_urmiensis,2,2,1,4,3,1,1,1,2,4,1,1,1,1,2,3,5,20,14,3,2,25,4,8,Pseudomonas,2,0.6666666666666666,4,0.8,29,0.96,68,0.9242424242424242,0.8163939393939393,3,False
1E7_Pseudomonas_paraglycinae,2,2,1,4,3,1,1,1,2,4,1,1,1,1,2,3,5,19,13,3,2,24,4,7,Pseudomonas,2,0.6666666666666666,4,0.8,29,0.96,65,0.8787878787878788,0.805030303030303,4,False
2G12_Pseudomonas_straminea,2,2,1,4,3,1,1,1,2,4,1,1,1,1,2,3,5,19,13,3,2,24,4,7,Pseudomonas,2,0.6666666666666666,4,0.8,29,0.96,65,0.8787878787878788,0.805030303030303,5,False
2C5_Pseudomonas_hunanensis,2,2,1,4,3,1,1,1,2,4,1,1,1,1,2,3,5,19,13,3,2,24,4,7,Pseudomonas,2,0.6666666666666666,4,0.8,29,0.96,65,0.8787878787878788,0.805030303030303,6,False
2H12_Pseudomonas_pharyngis,2,2,1,4,3,1,1,1,2,4,1,1,1,1,2,3,5,19,13,3,2,24,4,7,Pseudomonas,2,0.6666666666666666,4,0.8,29,0.96,65,0.8787878787878788,0.805030303030303,7,False
2B8_Pseudomonas_agronomica,2,2,1,4,3,1,1,1,2,4,1,1,1,1,2,3,5,19,13,3,2,24,4,7,Pseudomonas,2,0.6666666666666666,4,0.8,29,0.96,65,0.8787878787878788,0.805030303030303,8,False
T2A8_Pseudomonas_agarici,2,2,1,4,3,1,1,1,2,4,1,1,1,1,2,3,5,18,12,3,2,23,4,6,Pseudomonas,2,0.6666666666666666,4,0.8,29,0.96,62,0.8333333333333334,0.7936666666666666,9,False
T1B2_Pseudomonas_parakoreensis,2,2,1,4,3,1,1,1,2,4,1,1,1,1,2,3,5,18,12,3,2,23,4,6,Pseudomonas,2,0.6666666666666666,4,0.8,29,0.96,62,0.8333333333333334,0.7936666666666666,10,False
C1A2_Pseudomonas_neuropathica,2,2,1,4,3,1,1,1,2,4,1,1,1,1,2,3,5,17,11,3,2,22,4,5,Pseudomonas,2,0.6666666666666666,4,0.8,29,0.96,59,0.7878787878787878,0.7823030303030303,11,False
DSM6083_Stutzerimonas_balearica,2,2,1,3,3,1,1,1,2,3,1,1,0,1,2,3,4,16,11,3,2,20,4,6,Stutzerimonas,2,0.6666666666666666,3,0.6,26,0.84,56,0.7424242424242424,0.706939393939394,12,False
2F3_Pseudomonas_parafulva,2,2,1,3,2,1,1,1,1,3,1,0,0,1,1,2,4,18,12,3,2,23,4,6,Pseudomonas,2,0.6666666666666666,2,0.4,22,0.68,62,0.8333333333333334,0.6576666666666667,13,False
T1D4_Pseudomonas_fulva,2,2,1,3,2,1,1,1,1,3,1,0,0,1,1,2,4,18,12,3,2,23,4,6,Pseudomonas,2,0.6666666666666666,2,0.4,22,0.68,62,0.8333333333333334,0.6576666666666667,14,False
GL14_Stutzerimonas_nitrititolerans,2,1,1,3,2,1,1,1,2,3,1,0,0,1,2,2,4,15,10,2,1,18,3,5,Stutzerimonas,2,0.6666666666666666,2,0.4,23,0.72,49,0.6363636363636364,0.6164242424242424,15,False
C1D12_Stutzerimonas_nitrititolerans,2,1,1,3,2,1,1,1,2,3,1,0,0,1,2,2,4,14,9,2,1,17,3,4,Stutzerimonas,2,0.6666666666666666,2,0.4,23,0.72,46,0.5909090909090909,0.6050606060606061,16,False
DSM10701_Stutzerimonas_nitrititolerans,2,1,1,3,2,1,1,1,2,3,1,0,0,1,2,2,4,14,9,2,1,17,3,4,Stutzerimonas,2,0.6666666666666666,2,0.4,23,0.72,46,0.5909090909090909,0.6050606060606061,17,False
CCUG11256_Stutzerimonas_stutzeri,2,1,1,3,2,1,1,1,2,3,1,0,0,1,2,2,4,13,8,2,1,16,3,3,Stutzerimonas,2,0.6666666666666666,2,0.4,23,0.72,43,0.5454545454545454,0.5936969696969697,18,False
ATCC842_Paenibacillus_polymyxa,3,2,1,5,4,1,1,0,2,4,0,0,0,0,2,3,3,15,9,0,0,19,3,5,Paenibacillus,2,0.6666666666666666,0,0.0,29,0.96,46,0.5909090909090909,0.573060606060606,19,False
T1A2_Pseudomonas_atacamensis,2,2,1,3,2,1,1,0,1,3,0,0,0,1,1,2,4,16,10,2,1,19,3,5,Pseudomonas,2,0.6666666666666666,1,0.2,21,0.64,51,0.6666666666666666,0.568,20,False
AN10_Paenibacillus_polymyxa,3,2,1,5,4,1,1,0,2,4,0,0,0,0,2,3,3,14,8,0,0,18,3,4,Paenibacillus,2,0.6666666666666666,0,0.0,29,0.96,43,0.5454545454545454,0.5616969696969697,21,True
C1E9_Pseudomonas_argentinensis,2,1,1,3,3,1,1,0,1,3,0,0,0,1,1,2,3,15,9,2,1,18,3,4,Pseudomonas,2,0.6666666666666666,1,0.2,20,0.6,48,0.6212121212121212,0.5486363636363636,22,False
C58_Agrobacterium_tumefaciens,2,1,1,3,2,1,1,0,2,3,0,0,0,1,1,2,4,13,9,2,1,16,3,5,Agrobacterium,2,0.6666666666666666,1,0.2,21,0.64,44,0.5606060606060606,0.5414848484848485,23,False
LBA4404_Agrobacterium_tumefaciens,2,1,1,3,2,1,1,0,2,3,0,0,0,1,1,2,4,13,9,2,1,16,3,5,Agrobacterium,2,0.6666666666666666,1,0.2,21,0.64,44,0.5606060606060606,0.5414848484848485,24,False
JCM2506_Paenibacillus_peoriae,2,2,1,4,3,1,1,0,2,3,0,0,0,0,1,2,3,16,10,0,0,20,3,6,Paenibacillus,2,0.6666666666666666,0,0.0,23,0.72,49,0.6363636363636364,0.5364242424242424,25,False
AN11_Bacillus_pseudomycoides,2,2,1,4,3,1,1,0,2,3,0,0,0,0,2,2,3,15,9,0,0,18,3,4,Bacillus,2,0.6666666666666666,0,0.0,24,0.76,45,0.5757575757575758,0.5292727272727272,26,True
Ach5_Agrobacterium_rhizogenes,2,1,1,3,1,1,1,0,2,3,0,0,0,1,1,2,4,12,8,2,1,15,3,4,Agrobacterium,2,0.6666666666666666,1,0.2,20,0.6,41,0.5151515151515151,0.5221212121212121,27,False
C1G7_Agrobacterium_salinitolerans,2,1,1,3,1,1,1,0,2,3,0,0,0,1,1,2,4,12,8,2,1,15,3,4,Agrobacterium,2,0.6666666666666666,1,0.2,20,0.6,41,0.5151515151515151,0.5221212121212121,28,True
ATCC15970_Paenibacillus_macerans,2,2,1,4,4,1,1,0,2,3,0,0,0,0,2,2,3,11,5,0,0,15,2,2,Paenibacillus,2,0.6666666666666666,0,0.0,25,0.8,33,0.3939393939393939,0.4918181818181818,29,False
C2F3_Stenotrophomonas_sepilia,1,1,1,2,2,1,1,0,1,2,0,0,0,1,1,2,3,12,8,2,1,15,3,4,Stenotrophomonas,2,0.6666666666666666,1,0.2,16,0.44,41,0.5151515151515151,0.4901212121212121,30,False
C2D2_Stenotrophomonas_bentonitica,1,1,1,2,2,1,1,0,1,2,0,0,0,1,1,2,3,11,7,2,1,14,3,3,Stenotrophomonas,2,0.6666666666666666,1,0.2,16,0.44,38,0.4696969696969697,0.47875757575757577,31,False
JCM9079_Paenibacillus_amylolyticus,2,1,1,4,3,1,1,0,1,3,0,0,0,0,1,2,2,13,7,0,0,17,3,3,Paenibacillus,2,0.6666666666666666,0,0.0,20,0.6,40,0.5,0.4783333333333333,32,False
A12_Bacillus_toyonensis,2,1,1,3,3,1,1,0,1,3,0,0,0,0,1,2,2,12,7,0,0,15,3,3,Bacillus,2,0.6666666666666666,0,0.0,19,0.56,37,0.45454545454545453,0.45896969696969697,33,False
T2A4_Stenotrophomonas_lactitubi,1,1,0,2,2,1,1,0,0,2,0,0,0,1,1,2,2,10,6,2,1,13,3,2,Stenotrophomonas,2,0.6666666666666666,1,0.2,13,0.32,35,0.42424242424242425,0.4433939393939394,34,False
2A2_Pantoea_eucrina,1,1,0,3,2,1,1,0,0,2,0,0,0,0,1,1,1,10,7,1,0,13,2,3,Pantoea,2,0.6666666666666666,0,0.0,12,0.28,33,0.3939393939393939,0.38781818181818184,35,False
1H4_Pantoea_dispersa,1,1,0,3,2,1,1,0,0,2,0,0,0,0,1,1,1,9,6,1,0,12,2,2,Pantoea,2,0.6666666666666666,0,0.0,12,0.28,30,0.3484848484848485,0.3764545454545455,36,False
DSM36_Paenibacillus_mucilaginosus,2,2,1,4,3,1,0,0,2,3,0,0,0,0,1,2,3,12,6,0,0,16,3,3,Paenibacillus,1,0.3333333333333333,0,0.0,23,0.72,37,0.45454545454545453,0.3743030303030303,37,False
2C1_Pantoea_wallisii,1,1,0,3,2,1,1,0,0,2,0,0,0,0,1,1,1,8,5,1,0,11,2,1,Pantoea,2,0.6666666666666666,0,0.0,12,0.28,27,0.30303030303030304,0.3650909090909091,38,False
ATCC23308_Agrobacterium_radiobacter,1,1,1,2,1,1,0,0,1,2,0,0,0,1,1,2,3,11,7,2,1,14,3,3,Agrobacterium,1,0.3333333333333333,1,0.2,15,0.4,38,0.4696969696969697,0.3540909090909091,39,False
DSM13_Paenibacillus_larvae,2,1,1,3,3,0,1,0,1,3,0,0,0,0,1,2,2,10,4,0,0,14,2,1,Paenibacillus,1,0.3333333333333333,0,0.0,19,0.56,30,0.3484848484848485,0.31578787878787884,40,False
NTUH-K2044_Klebsiella_pneumoniae,1,0,0,3,1,0,1,0,1,2,0,0,0,0,1,1,2,13,9,2,0,16,2,5,Klebsiella,1,0.3333333333333333,0,0.0,12,0.28,42,0.5303030303030303,0.3052424242424242,41,False
NBRC15249_Paenibacillus_terrae,2,1,1,3,3,1,0,0,1,3,0,0,0,0,1,2,2,9,3,0,0,13,2,0,Paenibacillus,1,0.3333333333333333,0,0.0,19,0.56,27,0.30303030303030304,0.30442424242424243,42,False
AN18_Bacillus_cabrialesii,1,1,1,3,2,0,1,0,1,2,0,0,0,0,1,1,2,10,6,0,0,13,2,3,Bacillus,1,0.3333333333333333,0,0.0,15,0.4,31,0.36363636363636365,0.2875757575757576,43,False
ATCC13883_Klebsiella_pneumoniae,1,0,0,2,1,0,1,0,1,2,0,0,0,0,1,1,2,12,8,2,0,15,2,4,Klebsiella,1,0.3333333333333333,0,0.0,11,0.24,39,0.48484848484848486,0.28587878787878784,44,False
AN9_Bacillus_liqueniformis,1,1,1,3,2,0,1,0,1,2,0,0,0,0,1,1,2,9,5,0,0,12,2,2,Bacillus,1,0.3333333333333333,0,0.0,15,0.4,28,0.3181818181818182,0.2762121212121212,45,False
MGH78578_Klebsiella_pneumoniae,1,0,0,2,1,0,1,0,1,2,0,0,0,0,1,1,2,11,7,2,0,14,2,3,Klebsiella,1,0.3333333333333333,0,0.0,11,0.24,36,0.4393939393939394,0.2745151515151515,46,False
2H3_Klebsiella_huaxiensis,1,0,0,2,1,0,1,0,1,2,0,0,0,0,1,1,2,11,7,2,0,14,2,3,Klebsiella,1,0.3333333333333333,0,0.0,11,0.24,36,0.4393939393939394,0.2745151515151515,47,False
HS11286_Klebsiella_variicola,1,0,0,2,1,0,1,0,1,2,0,0,0,0,1,1,2,10,6,2,0,13,2,2,Klebsiella,1,0.3333333333333333,0,0.0,11,0.24,33,0.3939393939393939,0.26315151515151514,48,False
ATCC33650_Atlantibacter_hermanii,1,1,0,2,1,0,1,0,0,1,0,0,0,0,1,1,2,10,7,1,0,13,2,3,Atlantibacter,1,0.3333333333333333,0,0.0,10,0.2,33,0.3939393939393939,0.25515151515151513,49,False
CIP103399_Atlantibacter_hermanii,1,1,0,2,1,0,1,0,0,1,0,0,0,0,1,1,2,9,6,1,0,12,2,2,Atlantibacter,1,0.3333333333333333,0,0.0,10,0.2,30,0.3484848484848485,0.2437878787878788,50,False
ATHT2_Atlantibacter_hermannii,1,1,0,2,1,0,1,0,0,1,0,0,0,0,1,1,2,9,6,1,0,12,2,2,Atlantibacter,1,0.3333333333333333,0,0.0,10,0.2,30,0.3484848484848485,0.2437878787878788,51,False
JCM1665_Kosakonia_oryzae,0,0,0,2,1,0,1,0,1,1,0,0,0,0,1,1,1,10,7,1,0,12,2,4,Kosakonia,1,0.3333333333333333,0,0.0,8,0.12,32,0.3787878787878788,0.23536363636363636,52,False
DSM4851_Atlantibacter_hermanii,1,0,0,2,1,0,1,0,0,1,0,0,0,0,1,1,1,8,5,1,0,11,2,1,Atlantibacter,1,0.3333333333333333,0,0.0,8,0.12,27,0.30303030303030304,0.2164242424242424,53,False
LMG1134_Atlantibacter_hermanii,1,0,0,2,1,0,1,0,0,1,0,0,0,0,1,1,1,8,5,1,0,11,2,1,Atlantibacter,1,0.3333333333333333,0,0.0,8,0.12,27,0.30303030303030304,0.2164242424242424,54,False
ATCC13882_Kosakonia_sacchari,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,9,6,1,0,11,2,3,Kosakonia,1,0.3333333333333333,0,0.0,7,0.08,29,0.3333333333333333,0.21599999999999997,55,False
ATCC43506_Leclercia_adecarboxylata,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,9,6,1,0,11,2,3,Leclercia,1,0.3333333333333333,0,0.0,7,0.08,29,0.3333333333333333,0.21599999999999997,56,False
T3B4_Leclercia_pneumoniae,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,8,5,1,0,10,2,2,Leclercia,1,0.3333333333333333,0,0.0,7,0.08,26,0.2878787878787879,0.20463636363636362,57,False
NCTC10956_Leclercia_adecarboxylata,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,8,5,1,0,10,2,2,Leclercia,1,0.3333333333333333,0,0.0,7,0.08,26,0.2878787878787879,0.20463636363636362,58,False
1A1_Kosakonia_cowanii,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,8,5,1,0,10,2,2,Kosakonia,1,0.3333333333333333,0,0.0,7,0.08,26,0.2878787878787879,0.20463636363636362,59,False
OKane_Micrococcus_luteus,0,0,1,2,1,0,1,0,0,1,0,0,0,0,1,1,1,7,5,0,0,9,1,3,Micrococcus,1,0.3333333333333333,0,0.0,8,0.12,22,0.22727272727272727,0.19748484848484849,60,False
CDC0079-83_Leclercia_adecarboxylata,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,7,4,1,0,9,2,1,Leclercia,1,0.3333333333333333,0,0.0,7,0.08,23,0.24242424242424243,0.19327272727272726,61,False
LMG2714_Kosakonia_radicincitans,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,7,4,1,0,9,2,1,Kosakonia,1,0.3333333333333333,0,0.0,7,0.08,23,0.24242424242424243,0.19327272727272726,62,False
JCM30690_Craterilacuibacter_sinensis,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,1,8,5,0,0,10,1,2,Craterilacuibacter,1,0.3333333333333333,0,0.0,6,0.04,24,0.25757575757575757,0.18906060606060604,63,False
NCTC2665_Micrococcus_luteus,0,0,1,2,1,0,1,0,0,1,0,0,0,0,1,1,1,6,4,0,0,8,1,2,Micrococcus,1,0.3333333333333333,0,0.0,8,0.12,19,0.18181818181818182,0.18612121212121213,64,False
DSM21607_Kosakonia_arachidis,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,6,3,1,0,8,2,0,Kosakonia,1,0.3333333333333333,0,0.0,7,0.08,20,0.19696969696969696,0.1819090909090909,65,False
DSM30079_Leclercia_adecarboxylata,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,6,3,1,0,8,2,0,Leclercia,1,0.3333333333333333,0,0.0,7,0.08,20,0.19696969696969696,0.1819090909090909,66,False
1H10_Craterilacuibacter_sinensis,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,1,7,4,0,0,9,1,1,Craterilacuibacter,1,0.3333333333333333,0,0.0,6,0.04,21,0.21212121212121213,0.1776969696969697,67,False
WP3_Craterilacuibacter_sinensis,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,1,7,4,0,0,9,1,1,Craterilacuibacter,1,0.3333333333333333,0,0.0,6,0.04,21,0.21212121212121213,0.1776969696969697,68,False
T1A1_Telluria_neuiana,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,7,4,0,0,9,1,2,Telluria,1,0.3333333333333333,0,0.0,6,0.04,21,0.21212121212121213,0.1776969696969697,69,False
W1B4_Micrococcus_luteus,0,0,1,2,1,0,1,0,0,1,0,0,0,0,1,1,1,5,3,0,0,7,1,1,Micrococcus,1,0.3333333333333333,0,0.0,8,0.12,16,0.13636363636363635,0.17475757575757575,70,False
H74_Telluria_beijingensis,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,6,3,0,0,8,1,1,Telluria,1,0.3333333333333333,0,0.0,6,0.04,18,0.16666666666666666,0.1663333333333333,71,False
SGAir0127_Micrococcus_luteus,0,0,1,2,1,0,1,0,0,1,0,0,0,0,1,1,1,4,2,0,0,6,1,0,Micrococcus,1,0.3333333333333333,0,0.0,8,0.12,13,0.09090909090909091,0.1633939393939394,72,False
JCM16491_Prescottella_equi,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,6,4,0,0,8,1,2,Prescottella,1,0.3333333333333333,0,0.0,5,0.0,19,0.18181818181818182,0.1621212121212121,73,False
CGMCC1.6845_Craterilacuibacter_sinensis,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,6,3,0,0,8,1,1,Craterilacuibacter,1,0.3333333333333333,0,0.0,5,0.0,18,0.16666666666666666,0.15833333333333333,74,False
T2A11_Telluria_varians,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,5,2,0,0,7,1,0,Telluria,1,0.3333333333333333,0,0.0,6,0.04,15,0.12121212121212122,0.15496969696969695,75,False
2C12_Microvirga_terrestris,1,1,1,2,2,0,0,0,1,2,0,0,0,0,1,1,2,9,6,0,0,11,2,3,Microvirga,0,0.0,0,0.0,14,0.36,28,0.3181818181818182,0.15154545454545454,76,False
